,target,clean_text_hard,clean_text_light,tweet_len,urls,hashtags,emojis,mentions
25,1,breaking donetsk airport region ukraine junta attack heavy artillery mortars small arms yhua blafv,"Breaking  airport region Under  junta attack with the use of heavy artillery,mortars and small arms.",100,['https://t.co/YHUA4blAFV'],"['#Donetsk', '#Ukraine']",[],[]
26,1,west usa brings times uses terrorists heroically struggle isil ukraine syria,"The West and the  brings up and several times uses terrorists that then ""heroically"" to struggle with them!",107,[],"['#USA', '#ISIL', '#Ukraine', '#Syria']",[],[]
27,1,truthspeaker ukraine bonkers president poroshenko arrives london tomorrow gcis iztcc poroshenko uk,On the  as  's bonkers president @poroshenko arrives into  tomorrow!,68,['https://t.co/gCIS5IZtCc'],"['#TruthSpeaker', '#Ukraine', '#London', '#Poroshenko', '#UK']",[],['@poroshenko']
28,1,stopptterror der ukraine der türkei syrien und afghanistan,"in der Ukraine, in der T rkei, in Syrien und in Afghanistan!",60,[],['#stopptTerror'],[],[]
29,1,yanukovich says maidan shooting operation topple ukraine authorities hi pg vo uji fmpy,Yanukovich says maidan shooting is part of operation to topple Ukraine s authorities,84,"['https://t.co/hI5y3pG0vo', 'https://t.co/0UjI6FmPy8']",[],[],[]
30,1,germany bild reports ukraine stripped eurovision suffer humiliation moved moscow fgrsatwn nskjyzwkia,Germany's @BILD reports Ukraine may be stripped of Eurovision 2017 & suffer humiliation of it being moved to Moscow,115,"['https://t.co/9FGrSAtwN1', 'https://t.co/NskJyzwKia']",[],[],['@BILD']
31,1,lithuania decided rain revolution fusedmarc represent country eurovision revolutionary kyiv ukraine niol eff,"has decided: ""Rain of Revolution"" by ""Fusedmarc"" to represent the country at  in revolutionary",94,['https://t.co/NIoL64eff9'],"['#Lithuania', '#Eurovision2017', '#Kyiv', '#Ukraine']",[],[]
32,1,crimeaisukraine united states condemns russian occupation crimea kf wshzpss,The United States again condemns the Russian occupation of Crimea.,66,['https://t.co/kf3WSHzPss'],['#CrimeaisUkraine'],[],[]
33,1,anniversary russia crimea referendum reaffirm commitment ukraine sovereignty territorial integrity evc asbcsj,"On anniversary of Russia's Crimea referendum we reaffirm commitment to Ukraine sovereignty, territorial integrity.",114,['https://t.co/EvC4ASBcsj'],[],[],[]
34,1,rt stranahan whoa bombshell ukraine dnc cia story dropped gjv,RT stranahan: WHOA: Here's the BOMBSHELL Ukraine / DNC / CIA story I just dropped.,82,['https://t.co/d59gJV7v9s'],[],[],[]
35,1,rt stranahan super simple scandal despite condemning neo nazis charlottesville mccain clinton obama supported ukraine doi,"RT stranahan: Super simple scandal: despite condemning neo-Nazis in Charlottesville, McCain Clinton and Obama supported them in Ukraine doi",139,[],[],[],[]
36,1,rt stranahan concise charlottesville ukrainednc connection mryfvq,RT stranahan: Concise: What's the  /  connection ^,50,['https://t.co/MryfvQ0J69'],"['#Charlottesville', '#UkraineDNC']",[],[]
37,1,rt pcakes stranahan periscope connecting dots charlottesville hypocrisy ukrainednc fo jconhsahye,RT pcakes3636: .stranahan on  CONNECTING THE DOTS: More on  hypocrisy  - FO,75,['https://t.co/JCOnHsahYe'],"['#Periscope', '#Charlottesville', '#UkraineDNC']",[],[]
38,1,rt realkyleolbert clear ukraine fbi cia colluding dnc credibl znsjffiswb,"RT realKyleOlbert: It's now clear that  FBI, &amp; CIA were colluding w/ the  so there's nothing credibl",104,['https://t.co/ZnsJfFIsWB'],"['#Ukraine', '#DNC']",[],[]
39,1,rt cernovich john mccain went ukraine stood stage man accused anti semitic neo nazi vxzwnpmr,RT Cernovich: John McCain Went To Ukraine And Stood On Stage With A Man Accused Of Being An Anti-Semitic Neo-Nazi,113,['https://t.co/VxzwnpmR9f'],[],[],[]
40,1,alexa ukraine going hillary election interference ir jeuyozd alexdr enakll mr,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/iR3JEuYoZD', 'https://t.co/8enAklL1mr']","['#alexa', '#alexdr']",[],[]
41,1,alis ukraine going hillary election interference vglhjurffa lis htnjbpcain,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/Vglhjurffa', 'https://t.co/HTNJBPcaIn']","['#alis', '#lis']",[],[]
42,1,rt hour good news know real ties russia ukraine donald trump shit let,RT __0HOUR1_: Good News u know who has no real ties to Russia and the Ukraine DONALD J TRUMP I could give a shit about either side let e,136,[],[],[],[]
43,1,new followers russia ukraine belarus week cgo abb zz dtdssbwf,"I have 278 new followers from Russia, Ukraine, Belarus, and more last week. See",79,"['http://t.co/cgo7Abb5zz', 'http://t.co/dTdSSbWf3m']",[],[],[]
44,1,art stolen frisian museum foun hands ukraine extreme right politicians thanks jefhorians pdyovqgqxg,Art stolen from Frisian Museum in 2005 foun in hands of Ukraine's top extreme right politicians. Thanks @JefHorians,115,['https://t.co/pdYoVQGQxG'],[],[],['@JefHorians']
45,1,alba ukraine going hillary election interference khqhj lz albanis fgcqy,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/9kHqHj67LZ', 'https://t.co/u29FgCqy52']","['#alba', '#albanis']",[],[]
46,1,amb ukraine going hillary election interference ogt rjc amb xoku tyn,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/A4OGt3Rjc3', 'https://t.co/K8XOKu6tYN']","['#amb', '#amb']",[],[]
47,1,rt mitchellvii predicted jr story beginning end russiagate story lead hillary ukraine,RT mitchellvii: I predicted the Don Jr story would be the beginning on the end of he Russiagate story because it lead to Hillary in Ukraine,139,[],[],[],[]
48,1,rt truthingov soros clinton chalupa deep state cabal moves staged violence ukraine government overthrow style,"RT TruthinGov2016: Now the Soros/Clinton/Chalupa/Deep State Cabal moves to staged violence, Ukraine government overthrow style.",127,[],[],[],[]
49,1,rt rescuetracker answers john mccain went ukraine stood stage man accused njn es nm,RT rescuetracker81: ANSWERS NOW John McCain went to Ukraine and stood on stage with a man accused of being an an,112,['https://t.co/8NjN6Es7nm'],[],[],[]
50,1,rt stranahan whoa bombshell ukraine dnc cia story dropped zrhh prok,RT stranahan: WHOA: Here's the BOMBSHELL Ukraine / DNC / CIA story I just dropped.,82,['https://t.co/Zrhh60PrOK'],[],[],[]
51,1,rt stranahan concise charlottesville ukrainednc connection cxgyc,RT stranahan: Concise: What's the  /  connection ^,50,['https://t.co/IE5cxGyc55'],"['#Charlottesville', '#UkraineDNC']",[],[]
52,1,rt stranahan concise charlottesville ukrainednc connection cxgyc,RT stranahan: Concise: What's the  /  connection ^,50,['https://t.co/IE5cxGyc55'],"['#Charlottesville', '#UkraineDNC']",[],[]
53,1,rt cernovich john mccain went ukraine stood stage man accused anti semitic neo nazi bwfgicyedx,RT Cernovich: John McCain Went To Ukraine And Stood On Stage With A Man Accused Of Being An Anti-Semitic Neo-Nazi,113,['https://t.co/BwFGICYEdX'],[],[],[]
54,1,rt trumpgirlstrong distracted antics hillaryclinton probed ukraine ties investigatio ubo idlzx,RT TrumpGirlStrong: Don't be distracted w/ antics. HillaryClinton being probed for Ukraine ties &amp; investigatio,114,['https://t.co/uBO8IDLzX3'],[],"['⚡', '👉', '🏽']",[]
55,1,amberli ukraine going hillary election interference wni ckzhmo amber fkczjrquss,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/wni7ckzHmO', 'https://t.co/FKCZJrQUss']","['#amberli', '#amber']",[],[]
56,1,rt jimrobinson rd fec slaps dnc complaint colluding ukraine election trumptrain maga po rczrbutuei,RT JimRobinson3rd: FEC Slaps DNC With Complaint For 'Colluding With Ukraine During Election',92,['https://t.co/RCZrbUTUei'],"['#TrumpTrain', '#MAGA', '#PO']",[],[]
57,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
58,1,ukraine caught colluding dems help hillary win election pres poroshenko scrambling repair damage trump wm vkjehwm gakk jsc,UKRAINE Caught Colluding W/Dems To Help Hillary Win Election Pres Poroshenko Scrambling To Repair Damage With Trump,115,"['https://t.co/WM8vkJehwM', 'https://t.co/X8gaKK2jsC']",[],[],[]
59,1,image putin trumps obama orupvdorof tcot nobama fail putin ukraine russia fail,IMAGE: Putin trumps Obama,25,['https://t.co/ORupVdOroF'],"['#tcot', '#nobama', '#fail', '#putin', '#ukraine', '#russia', '#fail']",[],[]
60,1,usa backs literal nazis ukraine nato flag blue white compass gladio cia svoboda azov mccain kerry jwpedzb,USA  backs literal  in   flag is blue w white compass.,54,['https://t.co/0jWpEdzB76'],"['#IntelligenceCommunity', '#NAZIs', '#Ukraine', '#NATO', '#GLADIO', '#CIA', '#Svoboda', '#Azov', '#McCain', '#Kerry']",[],[]
61,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
62,1,clapper said espionage gain like pogrom odessa seize ports ukraine natsec blamerussia wikileaks mw srgjxy,SAID NO ESPIONAGE FOR $$$ GAIN? LIKE. POGROM  TO SEIZE PORTS?,61,['https://t.co/mW8SrgjxY0'],"['#CLAPPER', '#ODESSA', '#UKRAINE', '#NATSEC', '#BLAMERUSSIA', '#WIKILEAKS', '#AmericaNsewsroom']",[],[]
63,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
64,1,remember gave nukes russia ukraine dnc clinton hillaryclinton realdonaldtrump neverhillary bq gtory,"Remember, Bill gave the nukes back to Russia.    @HillaryClinton @realDonaldTrump",81,['https://t.co/bQ446GTOry'],"['#Ukraine', '#DNC', '#Clinton', '#neverhillary']",[],"['@HillaryClinton', '@realDonaldTrump']"
65,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
66,1,imho trespassing syria engaged illegal war syria russia putin aleppo ukraine obama nato turkey assad,"IMHO, US is trespassing in Syria and engaged in an illegal war.",63,[],"['#syria', '#russia', '#putin', '#aleppo', '#ukraine', '#obama', '#nato', '#turkey', '#assad']",[],[]
67,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
68,1,nedelya conducted poll readers ukrainian desired vladimir putin president ukraine voted poroshenko wttj,conducted a poll among its readers 84% of Ukrainian desired Vladimir Putin as President of  Only 1% voted for,109,['https://t.co/q3wTtj4g4E'],"['#Nedelya', '#Ukraine', '#Poroshenko']",[],[]
69,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
70,1,moscow accuses ukraine flagrant provocation russian servicemen kidnapped khxz ir bb ybm wqv,Moscow Accuses Ukraine Of Flagrant Provocation After 2 Russian Servicemen Kidnapped .,85,"['https://t.co/1khXZ3ir1g', 'https://t.co/bB4YBm4wqv']",[],[],[]
71,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
72,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
73,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
74,1,remember gave nukes russia ukraine dnc clinton hillaryclinton realdonaldtrump neverhillary bq gtory,"Remember, Bill gave the nukes back to Russia.    @HillaryClinton @realDonaldTrump",81,['https://t.co/bQ446GTOry'],"['#Ukraine', '#DNC', '#Clinton', '#neverhillary']",[],"['@HillaryClinton', '@realDonaldTrump']"
75,1,remember gave nukes russia ukraine dnc clinton hillaryclinton realdonaldtrump neverhillary bq gtory,"Remember, Bill gave the nukes back to Russia.    @HillaryClinton @realDonaldTrump",81,['https://t.co/bQ446GTOry'],"['#Ukraine', '#DNC', '#Clinton', '#neverhillary']",[],"['@HillaryClinton', '@realDonaldTrump']"
76,1,ex trump adviser ukraine crimea coverage example fake news trump maga hbuoficyph cw britfqw,"Ex-Trump adviser: Ukraine, Crimea coverage is example of fake news",66,"['https://t.co/HBuofIcyph', 'https://t.co/cW5britfQw']","['#Trump2016', '#2A', '#MAGA']",[],[]
77,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
78,1,priorities ukraine launched criminal prosecution bookingcom portal offers hotels crimea kcxtmbut,Priorities Ukraine has launched criminal prosecution against @bookingcom because the portal offers hotels in Crimea |,117,['https://t.co/o4kCxTMBUT'],[],[],['@bookingcom']
79,1,putin warned trump assassination plot way saved yanukovich ukraine coup gang nwo crime,Has    about an  plot the same way that he saved  from the,58,[],"['#Putin', '#warned', '#Trump', '#assassination', '#Yanukovich', '#Ukraine', '#coup', '#gang', '#NWO', '#crime']",[],[]
80,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
81,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
82,1,new round civil war ukraine blog alexander krot skidanov comte jw,A new round of civil war in Ukraine | Blog Alexander Krot Skidanov | Comte,74,['https://t.co/5u4jW4p57C'],[],[],[]
83,1,video john mccain divulges policy intel secrets prankster posing ukraine prime minister incredible breach xsj tlxppk,"VIDEO John McCain Divulges US Policy, Intel Secrets to Prankster Posing as Ukraine Prime Minister; Incredible Breach",116,['https://t.co/xSj7tLXppK'],[],[],[]
84,1,john mccain divulges policy intel secrets russian prankster posing ukraine pm incredible breach pmkh ej ib aoi rhefq,John McCain Divulges U.S. Policy &amp; Intel Secrets to Russian Prankster Posing as Ukraine PM; Incredible Breach,113,"['https://t.co/PMkH1eJ9Ib', 'https://t.co/aoI1RhEFQ7']",[],[],[]
85,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
86,1,mozgovoi vive prizrak novorossiya mozgovoilives communist socialism ukraine tmdnvmui,vive!,5,['http://t.co/t8tMdNvmui'],"['#Mozgovoi', '#Prizrak', '#Novorossiya', '#MozgovoiLives', '#SaveDonbassPeople', '#communist', '#socialism', '#Ukraine']",[],[]
87,1,russian lies presented ukraine msm dbu forget boilers ukrainian army spoils militia haguecourt nato namajcqb,Top 5 Russian lies as presented by  |an MSM DBu they forget about 7 boilers of Ukrainian Army (spoils for militia),114,['https://t.co/4namajCQb8'],"['#Ukraine', '#haguecourt', '#nato']",[],[]
88,1,years ago paul manafort firm received ukraine ledger payout ap exclusive report tcot wakeupamerica myuy mi,10 years ago? Paul Manafort's firm received Ukraine ledger payout: AP exclusive report,86,['https://t.co/MyuY2MI6X0'],"['#TCOT', '#WakeUpAmerica']",[],[]
89,1,fighting ukraine russia heating putin gets aggressive new friend wh kbmx tvd cm uku,Fighting between Ukraine &amp; Russia is heating up again as Putin gets aggressive since he has a new friend in the WH.,119,"['https://t.co/kBmx0U5tVd', 'https://t.co/cm4UKu8q5z']",[],[],[]
90,1,ally yushchenko ukraine brink erenwzqn cuouwuufj,Ally Yushchenko of Ukraine: We are on the brink,47,"['https://t.co/ErEnwZQN2k', 'https://t.co/CUouwuUFj3']",[],[],[]
91,1,years ukraine poroshenko useful idiot responsible thousands donbass deaths behest washington brussels vgtmxk bk,3 years of Ukraine's Poroshenko this May: a useful idiot responsible for thousands of Donbass deaths at the behest of Washington &amp; Brussels.,144,['https://t.co/3vgtmXk9bk'],[],[],[]
92,1,isis ukraine oil prices drives mad want,"ISIS, Ukraine, Oil prices, that drives me mad, I don't want to be one",69,[],['#ReasonIAmNotPresident'],[],[]
93,1,soros hilary lagarde wanted swap social pressure ukraine dncleaks tzcclamvc oa drmnern,"Soros, Hilary & Lagarde Wanted To ""Swap"" $15b For ""Social Pressure"" On   :)",75,"['https://t.co/1tZCcLamVC', 'https://t.co/OA3drMNern']","['#Ukraine', '#DNCLeaks']",[],[]
94,1,expanding nato overthrowing ukraine elected president foreignpolicy slams russia aggression global ambitions,"After expanding  E and overthrowing  elected president, US  slams  'aggression' and 'global ambitions'",102,[],"['#NATO', '#Ukraine', '#ForeignPolicy', '#Russia']",[],[]
95,1,radioactive ghost city pripyat ukraine wxdjizg,The Radioactive Ghost City Of Pripyat (Ukraine),47,['https://t.co/9WXDjizg76'],[],[],[]
96,1,ukraine alleged humanrights abuses involved torture incommunicado detention new report srhmua,"70% of alleged  abuses involved torture, incommunicado detention. New report:",77,['https://t.co/b8R4SRhmUA'],"['#Ukraine', '#humanrights']",[],[]
97,1,net russian government increases funding ukraine humans humancrisis,. @net9669 Russian government increases funding for Ukraine humans,66,[],['#HumanCrisis'],[],['@net9669']
98,1,ukraine poroshenko enrichment secret companies panama cyprus virginislands xwwyr yzyww,@poroshenko s enrichment with secret  in,40,"['https://t.co/a7g8XWWyr3', 'https://t.co/b92yzyww7B']","['#Ukraine', '#companies', '#Panama', '#Cyprus', '#VirginIslands']",[],['@poroshenko']
99,1,heil ukraine slavs ukraine sugs сугс ei finfzf,Heil  Slavs Ukraine!,20,['https://t.co/Ei44FiNfZf'],"['#Ukraine', '#sugs', '#сугс']",[],[]
100,1,ukraine pictures nazis hold death russia sign kiev today ukraine russia cross migration chart tq ejxbb,"Ukraine in two pictures. 1.Nazis hold ""Death to Russia"" sign in Kiev today. 2.Ukraine-Russia cross-migration chart.",115,['https://t.co/tQ8i7eJXbb'],[],[],[]
101,1,ameliss ukraine going hillary election interference harcaant amelin iyizk uice,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/hARCaAnT9r', 'https://t.co/IyizK9UICE']","['#ameliss', '#amelin']",[],[]
102,1,amms ukraine going hillary election interference ugtke qcml amis sadl vkm,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/UGtKe9qCML', 'https://t.co/a8SAdL4vKM']","['#amms', '#amis']",[],[]
103,1,anche ukraine going hillary election interference pxa kwtbbh aamy eaudcs bxr,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/pxA6KWtbbh', 'https://t.co/eaUDcs9BxR']","['#anche', '#aamy']",[],[]
104,1,rt mitchellvii predicted jr story beginning end russiagate story lead hillary ukraine,RT mitchellvii: I predicted the Don Jr story would be the beginning on the end of he Russiagate story because it lead to Hillary in Ukraine,139,[],[],[],[]
105,1,anissd ukraine going hillary election interference oequnk aniss ibnhdaomos,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/w6OEqunk0O', 'https://t.co/IbnhDaoMOs']","['#anissd', '#aniss']",[],[]
106,1,ame ukraine going hillary election interference gs xzcqo yh jnq qi,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/g0gs0XZCqO', 'https://t.co/yh0Jnq1qi3']",['#Ame'],[],[]
107,1,anata ukraine going hillary election interference crikmf fvsn qac,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/d1cRIKMf3O', 'https://t.co/s0FvSN4qac']",['#anata'],[],[]
108,1,bombshell levels stolen art hands ukraine extreme right dutch media admits ukraine extreme right,Bombshell on so many levels. 1.Stolen art in hands of Ukraine's extreme right. 2. Dutch media admits there is Ukraine's extreme right.,134,[],[],[],[]
109,1,anca ukraine going hillary election interference pyeod pkn iit,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/4PYeOD5Y11', 'https://t.co/L74pKn6iIt']",['#anca'],[],[]
110,1,anderr ukraine going hillary election interference manpsj xf ev yhgmmj,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/ManPsJ44XF', 'https://t.co/1EV7yHgmmj']",['#anderr'],[],[]
111,1,andris ukraine going hillary election interference pkmw msk vmiwa,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/PKmW3p0msk', 'https://t.co/K8m62VmiWA']",['#andris'],[],[]
112,1,andrrre ukraine going hillary election interference ure ojqpp syiaitsjlg,Ukraine is Going After Hillary for U.S. Election Interference,61,"['https://t.co/ure3ojQPP5', 'https://t.co/sYIAiTsJLG']",['#andrrre'],[],[]
